Probe	Ensembl	Correlation
ENSG00000204044	ENSG00000204044	1
ENSG00000204060	ENSG00000204060	1
ENSG00000204188	ENSG00000204188	1
ENSG00000204347	ENSG00000204347	1
ENSG00000204556	ENSG00000204556	1
ENSG00000204583	ENSG00000204583	1
ENSG00000204616	ENSG00000204616	1
ENSG00000204711	ENSG00000204711	1
ENSG00000204718	ENSG00000204718	1
ENSG00000204758	ENSG00000204758	1
ENSG00000204764	ENSG00000204764	1
ENSG00000204794	ENSG00000204794	1
ENSG00000204832	ENSG00000204832	1
ENSG00000204869	ENSG00000204869	1
ENSG00000204983	ENSG00000204983	1
ENSG00000205361	ENSG00000205361	1
ENSG00000205456	ENSG00000205456	1
ENSG00000205579	ENSG00000205579	1
ENSG00000205611	ENSG00000205611	1
ENSG00000205810	ENSG00000205810	1
ENSG00000205838	ENSG00000205838	1
ENSG00000205871	ENSG00000205871	1
ENSG00000205940	ENSG00000205940	1
ENSG00000206013	ENSG00000206013	1
ENSG00000206066	ENSG00000206066	1
ENSG00000206113	ENSG00000206113	1
ENSG00000206127	ENSG00000206127	1
ENSG00000206249	ENSG00000206249	1
ENSG00000206384	ENSG00000206384	1
ENSG00000206531	ENSG00000206531	1
ENSG00000206549	ENSG00000206549	1
ENSG00000206957	ENSG00000206957	1
ENSG00000207003	ENSG00000207003	1
ENSG00000207034	ENSG00000207034	1
ENSG00000207217	ENSG00000207217	1
ENSG00000207399	ENSG00000207399	1
ENSG00000207445	ENSG00000207445	1
ENSG00000207688	ENSG00000207688	1
ENSG00000207697	ENSG00000207697	1
ENSG00000207709	ENSG00000207709	1
ENSG00000207721	ENSG00000207721	1
ENSG00000207736	ENSG00000207736	1
ENSG00000207973	ENSG00000207973	1
ENSG00000208028	ENSG00000208028	1
ENSG00000209707	ENSG00000209707	1
ENSG00000211647	ENSG00000211647	1
ENSG00000211676	ENSG00000211676	1
ENSG00000211678	ENSG00000211678	1
ENSG00000211683	ENSG00000211683	1
ENSG00000211692	ENSG00000211692	1
ENSG00000211701	ENSG00000211701	1
ENSG00000211731	ENSG00000211731	1
ENSG00000211732	ENSG00000211732	1
ENSG00000211828	ENSG00000211828	1
ENSG00000211840	ENSG00000211840	1
ENSG00000211845	ENSG00000211845	1
ENSG00000211850	ENSG00000211850	1
ENSG00000211852	ENSG00000211852	1
ENSG00000211857	ENSG00000211857	1
